product_id,brand,product_name,product_name_en,category,subcategory,is_rising,rising_rank,category_rank,brand_rank,source_1,source_product_id_1,url_1,source_2,source_product_id_2,url_2,source_3,source_product_id_3,url_3
P00339,허니버니,허니 멜팅 샴푸,,헤어케어,샴푸,,,,,화해,2190993,https://www.hwahae.co.kr/products/p/2190993,,,,,,
P00340,세로랩스,제로 버블 퓨어 젤 클렌저,,클렌징/필링,클렌징 젤,,,,,화해,2191076,https://www.hwahae.co.kr/products/p/2191076,,,,,,
P00341,오우스킨,플라노리아 아스타잔틴 & 콜라겐 안티에이징 부스터,,스킨케어,크림,,,,,화해,2191246,https://www.hwahae.co.kr/products/p/2191246,,,,,,
P00342,루나,롱래스팅 팁 컨실러 커버 핏 EX [SPF34/PA++] [21N],,베이스메이크업,컨실러,,,,,화해,2191336,https://www.hwahae.co.kr/products/p/2191336,,,,,,
P00343,제니에,글로우8 펩타이드 세럼,,오일,,,,,,화해,2191667,https://www.hwahae.co.kr/products/p/2191667,,,,,,
P00344,아토팜,이지워시 선스크린 [SPF50+/PA++++],,선케어,선크림/로션,,,,,화해,2192243,https://www.hwahae.co.kr/products/p/2192243,,,,,,
P00345,에이에스씨이플러스,카밍앰플 프로,,스킨케어,에센스/앰플/세럼,,,,,화해,2193064,https://www.hwahae.co.kr/products/p/2193064,,,,,,
P00346,에이에스씨이플러스,더블: 이엑스 시그널 패드 프로,,토너 패드,,,,,,화해,2193584,https://www.hwahae.co.kr/products/p/2193584,,,,,,
P00347,몽디에스,선크림 [SPF50+/PA++++],,로션,,,,,,화해,2193704,https://www.hwahae.co.kr/products/p/2193704,,,,,,
P00348,일리윤,세라마이드 아토 집중 크림,Ceramide Ato Concentrate Cream 150mL,젤,,,,,,화해,2194227,https://www.hwahae.co.kr/products/p/2194227,올리브영글로벌,GA250127973,https://global.oliveyoung.com/product/detail?prdtNo=GA250127973,,,
P00349,핀브,오브제 트루베 글로우 파운데이션 [SPF50+ PA++++] [21호 라이트베이지],,베이스메이크업,파운데이션,,,,,화해,2194729,https://www.hwahae.co.kr/products/p/2194729,,,,,,
P00350,루온셀,하이 리프트 겔 마스크,,마스크/팩,시트마스크,,,,,화해,2194735,https://www.hwahae.co.kr/products/p/2194735,,,,,,
P00351,에이에스씨이플러스,엑소밤-SR2,,멀티밤,,,,,,화해,2194906,https://www.hwahae.co.kr/products/p/2194906,,,,,,
P00352,닥터지,레드 블레미쉬 클리어 수딩 크림 EX,,,,,,,8,화해,2195805,https://www.hwahae.co.kr/products/p/2195805,,,,,,
P00353,에스쁘아,더마 커버 블레미쉬 밤 [SPF50+/PA++++] [10호 애쉬 아이보리],,CC크림,,,,,,화해,2196164,https://www.hwahae.co.kr/products/p/2196164,,,,,,
P00354,토니모리,세라마이드 모찌 토너,,,,,,14,,화해,2197271,https://www.hwahae.co.kr/products/p/2197271,,,,,,
P00355,벌쓰티,글로우 핸드 앤 바디 워시 [케이크 프롬 수지],,바디,바디워시,,,,,화해,2197771,https://www.hwahae.co.kr/products/p/2197771,,,,,,
P00356,벌쓰티,레이어드 핸드 앤 바디 로션 [케이크 프롬 수지],,밤,,,,,,화해,2197909,https://www.hwahae.co.kr/products/p/2197909,,,,,,
P00357,,노마디아블루 진정 판테놀 1% 클렌징 밀크,,,,,,,,화해,2202268,https://www.hwahae.co.kr/products/p/2202268,,,,,,
P00358,일리윤,세라마이드 아토 선로션 [SPF50+/PA++++],,,,,,,7,화해,2203432,https://www.hwahae.co.kr/products/p/2203432,,,,,,
P00359,딕셔니스트,아미노산 앰플,,,,TRUE,2,,,화해,2206996,https://www.hwahae.co.kr/products/p/2206996,,,,,,
