product_id,brand_ko,brand_en,product_name_ko,product_name_en,category,subcategory,has_hwahae_source,has_any_source,has_skin_type_signal,has_concern_signal,has_texture,has_age_signal,has_ranking,has_award,has_oliveyoung_global_offer,recommendation_review_candidate,commerce_review_candidate,missing_for_review
P00271,롬앤,rom&nd,누 제로 쿠션 [SPF24/PA++] [03 내추럴21],,,,True,True,False,False,False,False,True,False,False,False,False,product_name_en|category|subcategory|skin_type_signal|concern_signal|texture|oliveyoung_global_offer
P00272,메디큐브,medicube,엑소좀시카 진정 패드,,클렌징/필링,스크럽/필링 패드,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00273,바이오더마,Bioderma,시카비오 크림+,,스킨케어,크림,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00274,르메이엘,,쿨링 앤 카밍 아이싱랩,,마스크/팩,부분마스크 패드,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00275,레이어랩,Layer Lab,니오좀 판테놀 5% 세럼,,스킨케어,에센스/앰플/세럼,True,True,True,True,False,False,True,True,False,False,False,product_name_en|texture|oliveyoung_global_offer
P00276,아누아,ANUA,어성초 77 수딩 토너,,,,True,True,False,False,False,False,True,False,False,False,False,product_name_en|category|subcategory|skin_type_signal|concern_signal|texture|oliveyoung_global_offer
P00277,바이오던스,BIODANCE,리프레싱 씨 켈프 리얼 딥 마스크,,마스크/팩,슬리핑팩,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00278,식물나라,,워터프루프 선 스프레이 [SPF50+/PA++++],,선케어,선스프레이,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00279,노일리,,블랙헤드 슬라임 효소클렌저,,클렌징/필링,클렌징 파우더,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00280,피캄,,시카락토 엑소좀 45 슬리핑 마스크,,마스크/팩,슬리핑팩,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00281,텐제로,,핑크 히알루론산 나이아신아마이드 세럼 하트 패드,,스킨케어,스킨/토너 패드,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00282,모토몬트,,밀크티 미스트,,스킨케어,미스트,True,True,False,False,True,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|concern_signal|oliveyoung_global_offer
P00283,아누아,ANUA,PDRN 히알루론산 100 수분 크림,,,,True,True,True,False,False,True,True,False,False,False,False,product_name_en|category|subcategory|concern_signal|texture|oliveyoung_global_offer
P00284,파우치24,,퀸즈 밤,,스킨케어,밤/멀티밤,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00285,지피덤,,EGF 스킨 베리어 크림 토너,,스킨케어,스킨/토너,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00286,일리윤,illiyoon,세라마이드 아토 로션,,,,True,True,True,False,False,True,True,True,False,False,False,product_name_en|category|subcategory|concern_signal|texture|oliveyoung_global_offer
P00287,메디큐브,medicube,PDRN 겔 패드,,마스크/팩,부분마스크 패드,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00288,스탠다드서울,Standard Seoul,배리어 글래스 겔 크림,,스킨케어,젤,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00289,스미브,,락토바이오 염색 샴푸 [블랙],,헤어케어,샴푸,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00290,달바,d'Alba,비타 토닝 세럼 로션,,스킨케어,로션/에멀젼,True,True,False,True,False,False,False,True,False,False,False,product_name_en|skin_type_signal|texture|oliveyoung_global_offer
P00291,낫씨백,,엔에스비케이 핑크 알로에 폼 클렌저,,클렌징/필링,클렌징 젤,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00292,낫씨백,,엔에스비케이 핑크 알로에 수딩 젤,,스킨케어,젤,True,True,False,True,False,False,False,True,False,False,False,product_name_en|brand_en|skin_type_signal|texture|oliveyoung_global_offer
P00293,시드물,SIDMOOL,알로에 에센셜 수딩 마스크시트팩,,,,True,True,False,False,False,False,True,False,False,False,False,product_name_en|category|subcategory|skin_type_signal|concern_signal|texture|oliveyoung_global_offer
